Latitude,Longitude,ValidDate,AQI,PM2.5,PM10,O3,NO2,CO,SO2
37.9722,-122.5189,09-01-25,82,11,17,36,2,0.2,0.2
38.1269,-122.9139,09-01-25,71,6.8,17,24,5.1,0.2,0.2
37.713299,-119.7061,09-01-25,28,6.8,17,59,5.1,0.2,0.2
37.54377,-119.83957,09-01-25,56,6.8,17,47,5.1,0.2,0.2
37.748707,-119.587094,09-01-25,11,6.8,17,24,5.1,0.2,0.2
37.730598,-119.574402,09-01-25,161,6.8,17,24,5.1,0.2,0.2
37.747799,-119.591698,09-01-25,29,6.8,17,24,5.1,0.2,0.2
39.445736,-123.804314,09-01-25,65,6.8,17,24,5.1,0.2,0.2
39.150478,-123.206528,09-01-25,12,4.2,17,24,5.1,0.2,0.2
39.145733,-123.202995,09-01-25,2,6.8,17,24,5.1,0.2,0.2
39.43734,-123.78766,09-01-25,67,6.8,20,24,5.1,0.2,0.2
39.411761,-123.3526,09-01-25,40,6.8,17,24,5.1,0.2,0.2
37.2817,-120.433601,09-01-25,11,6.8,17,24,5.1,0.2,0.2
37.645718,-118.966515,09-01-25,87,6.8,42,24,5.1,0.2,0.2
37.962069,-119.120278,09-01-25,56,7.7,16,24,5.1,0.2,0.2
38.0697,-118.9477,09-01-25,37,6.8,13,24,5.1,0.2,0.2
36.48187,-121.73333,09-01-25,43,6,17,28,5.1,0.2,0.2
36.209038,-121.125986,09-01-25,151,9,27,29,5.1,0.2,0.2
36.694261,-121.623271,09-01-25,64,10,17,23,5,0.3,0.2
36.511942,-121.442794,09-01-25,23,6.8,17,24,5.1,0.2,0.2
36.427975,-121.327819,09-01-25,0,6.8,17,24,5.1,0.2,0.2
36.326972,-121.245819,09-01-25,21,4.1,17,10,5.1,0.2,0.2
36.542105,-121.92295,09-01-25,21,6.8,17,24,5.1,0.2,0.2
36.636753,-121.807495,09-01-25,20,6.8,17,24,5.1,0.2,0.2
36.620125,-121.816645,09-01-25,47,6.8,17,24,5.1,0.2,0.2
36.606912,-121.898879,09-01-25,56,6.8,17,24,5.1,0.2,0.2
